59,30,50,0
75,45,55,0
65,20,55,0
80,85,65,1
55,65,60,0
55,95,59,0
95,70,61,1
88,75,59,0
55,25,58,0
60,95,60,1
90,70,60,1
30,55,58,0
85,60,70,1
95,95,100,1
60,80,59,0
65,95,60,1
50,85,59,0
95,75,61,1
55,95,60,0
75,70,58,0
80,60,75,1
90,40,59,0
95,70,60,1
60,55,59,0
50,80,58,0
95,75,60,1
85,95,100,1
95,85,59,0
90,70,60,1
70,50,59,0
85,80,61,1
75,75,58,0
90,90,75,1
55,40,59,0
70,85,60,1
60,55,58,0
95,60,100,1
85,60,59,0
70,95,60,1
85,95,61,1
90,55,59,0
75,70,75,1
95,95,60,1
70,60,58,0
85,75,59,0
90,95,61,1
95,85,59,0
75,55,60,1
80,90,60,1
70,85,58,0
75,95,59,0
90,75,61,1
85,60,60,1
95,70,59,0
90,75,60,1
80,55,58,0
75,60,100,1
95,95,59,0
90,70,60,1
85,75,58,0
70,60,75,1
95,85,60,1
70,80,59,0
85,55,58,0
59,30,50,0
75,45,55,0
65,20,55,0
80,85,65,1
55,65,60,0
55,95,59,0
95,70,61,1
88,75,59,0
55,25,58,0
60,95,60,1
90,70,60,1
30,55,58,0
85,60,70,1
95,95,100,1
60,80,59,0
65,95,60,1
50,85,59,0
95,75,61,1
55,95,60,0
75,70,58,0
80,60,75,1
90,40,59,0
95,70,60,1
60,55,59,0
50,80,58,0
95,75,60,1
85,95,100,1
95,85,59,0
90,70,60,1
70,50,59,0
85,80,61,1
75,75,58,0
90,90,75,1
55,40,59,0
70,85,60,1
60,55,58,0
95,60,100,1
85,60,59,0
70,95,60,1
85,95,61,1
90,55,59,0
75,70,75,1
95,95,60,1
70,60,58,0
85,75,59,0
90,95,61,1
95,85,59,0
75,55,60,1
80,90,60,1
70,85,58,0
75,95,59,0
90,75,61,1
85,60,60,1
95,70,59,0
90,75,60,1
80,55,58,0
75,60,100,1
95,95,59,0
90,70,60,1
85,75,58,0
70,60,75,1
95,85,60,1
70,80,59,0
85,55,58,0
59,30,50,0
75,45,55,0
65,20,55,0
80,85,65,1
55,65,60,0
55,95,59,0
95,70,61,1
88,75,59,0
55,25,58,0
60,95,60,1
90,70,60,1
30,55,58,0
85,60,70,1
95,95,100,1
60,80,59,0
65,95,60,1
50,85,59,0
95,75,61,1
55,95,60,0
75,70,58,0
80,60,75,1
90,40,59,0
95,70,60,1
60,55,59,0
50,80,58,0
95,75,60,1
85,95,100,1
95,85,59,0
90,70,60,1
70,50,59,0
85,80,61,1
75,75,58,0
90,90,75,1
55,40,59,0
70,85,60,1
60,55,58,0
95,60,100,1
85,60,59,0
70,95,60,1
85,95,61,1
90,55,59,0
75,70,75,1
95,95,60,1
70,60,58,0
85,75,59,0
90,95,61,1
95,85,59,0
75,55,60,1
80,90,60,1
70,85,58,0
75,95,59,0
90,75,61,1
85,60,60,1
95,70,59,0
90,75,60,1
80,55,58,0
75,60,100,1
95,95,59,0
90,70,60,1
85,75,58,0
70,60,75,1
95,85,60,1
70,80,59,0
85,55,58,0
59,30,50,0
75,45,55,0
65,20,55,0
80,85,65,1
55,65,60,0
55,95,59,0
95,70,61,1
88,75,59,0
55,25,58,0
60,95,60,1
90,70,60,1
30,55,58,0
85,60,70,1
95,95,100,1
60,80,59,0
65,95,60,1
50,85,59,0
95,75,61,1
55,95,60,0
75,70,58,0
80,60,75,1
90,40,59,0
95,70,60,1
60,55,59,0
50,80,58,0
95,75,60,1
85,95,100,1
95,85,59,0
90,70,60,1
70,50,59,0
85,80,61,1
75,75,58,0
90,90,75,1
55,40,59,0
70,85,60,1
60,55,58,0
95,60,100,1
85,60,59,0
70,95,60,1
85,95,61,1
90,55,59,0
75,70,75,1
95,95,60,1
70,60,58,0
85,75,59,0
90,95,61,1
95,85,59,0
75,55,60,1
80,90,60,1
70,85,58,0
75,95,59,0
90,75,61,1
85,60,60,1
95,70,59,0
90,75,60,1
80,55,58,0
75,60,100,1
30,40,60,0
50,60,60,0
59,59,59,0
60,60,60,1
60,60,59,0
60,70,52,0
62,30,50,0
